region	chr	midPos	Nsites
(1880,2066)(502336,502547)(500000,550000)	JASDQU010100466.1	525000	188	0.693672
(1229,2285)(463232,464495)(450000,500000)	JASDQU010100467.1	475000	1058	0.375027
(62,418)(253720,280037)(250000,300000)	JASDQU010100468.1	275000	358	0.707920
(917,1061)(134180,134326)(100000,150000)	JASDQU010100470.1	125000	146	0.048359
(1062,2602)(418502,449999)(400000,450000)	JASDQU010100470.1	425000	1542	0.132327
(2603,3873)(450000,475303)(450000,500000)	JASDQU010100470.1	475000	1272	0.083955
(434,912)(88235,88772)(50000,100000)	JASDQU010100471.1	75000	480	0.669073
(913,1709)(117687,118489)(100000,150000)	JASDQU010100471.1	125000	798	0.194793
(1710,2866)(164467,191064)(150000,200000)	JASDQU010100471.1	175000	1158	0.148198
(2867,3091)(235699,236056)(200000,250000)	JASDQU010100471.1	225000	226	0.276910
(3092,3209)(336426,336560)(300000,350000)	JASDQU010100471.1	325000	119	0.106748
(1522,1861)(164884,165556)(150000,200000)	JASDQU010100472.1	175000	341	0.068775
(331,1200)(78408,79330)(50000,100000)	JASDQU010100477.1	75000	871	0.329678
(1201,1784)(435755,436346)(400000,450000)	JASDQU010100477.1	425000	585	0.134567
(1785,1939)(551838,551996)(550000,600000)	JASDQU010100477.1	575000	156	0.006229
(1940,2209)(637204,639225)(600000,650000)	JASDQU010100477.1	625000	271	0.046721
(1493,1905)(191701,192309)(150000,200000)	JASDQU010100482.1	175000	414	-0.006569
(196,885)(233588,234305)(200000,250000)	JASDQU010100484.1	225000	691	0.485339
(1231,2079)(485919,486777)(450000,500000)	JASDQU010100486.1	475000	850	0.223537
(2080,2096)(589043,589064)(550000,600000)	JASDQU010100486.1	575000	18	0.556387
(316,1690)(359407,362146)(350000,400000)	JASDQU010100487.1	375000	1376	0.414336
(32,544)(145200,145795)(100000,150000)	JASDQU010100489.1	125000	514	0.286273
(545,588)(160514,160561)(150000,200000)	JASDQU010100489.1	175000	45	0.042764
(589,897)(231096,231420)(200000,250000)	JASDQU010100489.1	225000	310	0.102696
(1606,3212)(62466,64297)(50000,100000)	JASDQU010100492.1	75000	1608	0.498460
(3213,4340)(143792,144923)(100000,150000)	JASDQU010100492.1	125000	1129	0.012714
(4341,5795)(170522,183188)(150000,200000)	JASDQU010100492.1	175000	1456	0.638620
(65,877)(229042,230437)(200000,250000)	JASDQU010100493.1	225000	814	0.302453
(827,1641)(252751,253679)(250000,300000)	JASDQU010100497.1	275000	816	0.548824
(374,464)(158939,159038)(150000,200000)	JASDQU010100499.1	175000	92	0.040440
(465,838)(221797,222273)(200000,250000)	JASDQU010100499.1	225000	375	0.067157
(173,592)(216285,216715)(200000,250000)	JASDQU010100506.1	225000	421	0.073698
(392,692)(73633,74012)(50000,100000)	JASDQU010100509.1	75000	302	0.034153
(693,771)(106372,106479)(100000,150000)	JASDQU010100509.1	125000	80	0.072157
(772,1562)(589549,590534)(550000,600000)	JASDQU010100509.1	575000	792	0.636545
(71,1467)(325912,327865)(300000,350000)	JASDQU010100516.1	325000	1398	0.400468
(817,1273)(168843,169326)(150000,200000)	JASDQU010100517.1	175000	458	0.165619
(210,264)(700143,700204)(700000,750000)	JASDQU010100519.1	725000	56	0.028596
(265,391)(767825,780646)(750000,800000)	JASDQU010100519.1	775000	128	0.125544
(301,696)(60394,60792)(50000,100000)	JASDQU010100520.1	75000	397	0.750926
(21,892)(153861,154832)(150000,200000)	JASDQU010100521.1	175000	873	0.554392
(893,2855)(404511,448492)(400000,450000)	JASDQU010100521.1	425000	1964	0.682192
(134,145)(113701,113712)(100000,150000)	JASDQU010100529.1	125000	13	0.073969
(146,225)(208810,208931)(200000,250000)	JASDQU010100529.1	225000	81	0.078097
(1987,2944)(62707,63756)(50000,100000)	JASDQU010100530.1	75000	959	0.255390
(2945,2984)(112612,112653)(100000,150000)	JASDQU010100530.1	125000	41	0.034194
(2985,3609)(184836,185464)(150000,200000)	JASDQU010100530.1	175000	626	-0.003639
(3610,3859)(295994,296255)(250000,300000)	JASDQU010100530.1	275000	251	0.004182
(256,1376)(73251,74585)(50000,100000)	JASDQU010100537.1	75000	1122	0.467011
(1356,1679)(473999,474325)(450000,500000)	JASDQU010100542.1	475000	325	0.043585
(112,836)(665805,666552)(650000,700000)	JASDQU010100544.1	675000	726	0.747468
(837,1160)(708936,710907)(700000,750000)	JASDQU010100544.1	725000	325	0.428461
(1161,1620)(1063609,1064138)(1050000,1100000)	JASDQU010100544.1	1075000	461	0.020945
(30,430)(107123,107527)(100000,150000)	JASDQU010100547.1	125000	402	0.024376
(431,4476)(310624,336076)(300000,350000)	JASDQU010100547.1	325000	4047	0.855433
(4477,4857)(561115,561528)(550000,600000)	JASDQU010100547.1	575000	382	0.505903
(4858,5046)(618098,618299)(600000,650000)	JASDQU010100547.1	625000	190	0.025892
(5047,5158)(699439,699557)(650000,700000)	JASDQU010100547.1	675000	113	0.086167
(4397,6644)(306465,308831)(300000,350000)	JASDQU010100549.1	325000	2249	0.685375
(1270,1942)(147420,148453)(100000,150000)	JASDQU010100552.1	125000	674	0.085871
(1943,2371)(214664,215132)(200000,250000)	JASDQU010100552.1	225000	430	0.382083
(274,334)(264286,265018)(250000,300000)	JASDQU010100559.1	275000	62	0.055262
(7,1593)(167154,171603)(150000,200000)	JASDQU010100560.1	175000	1588	0.322228
(1594,3996)(203026,205430)(200000,250000)	JASDQU010100560.1	225000	2404	0.509341
(3997,4719)(255791,256519)(250000,300000)	JASDQU010100560.1	275000	724	0.521822
(6,687)(276747,277440)(250000,300000)	JASDQU010100561.1	275000	683	0.506729
(688,847)(345149,345316)(300000,350000)	JASDQU010100561.1	325000	161	0.060743
(848,1078)(479040,479433)(450000,500000)	JASDQU010100561.1	475000	232	0.180552
(1079,1270)(653215,653488)(650000,700000)	JASDQU010100561.1	675000	193	0.055271
(130,222)(265303,265400)(250000,300000)	JASDQU010100562.1	275000	94	0.021567
(223,238)(356787,356804)(350000,400000)	JASDQU010100562.1	375000	17	0.049048
(239,466)(555538,555772)(550000,600000)	JASDQU010100562.1	575000	229	0.019297
(269,286)(133238,133258)(100000,150000)	JASDQU010100565.1	125000	19	0.269416
(604,1252)(218423,219588)(200000,250000)	JASDQU010100571.1	225000	650	0.519610
(4,444)(55811,56305)(50000,100000)	JASDQU010100572.1	75000	442	-0.001903
(445,530)(240029,240436)(200000,250000)	JASDQU010100572.1	225000	87	0.040477
(531,1554)(450987,452560)(450000,500000)	JASDQU010100572.1	475000	1025	0.039029
(1555,1555)(525037,525037)(500000,550000)	JASDQU010100572.1	525000	2	0.047047
(149,835)(434906,435607)(400000,450000)	JASDQU010100574.1	425000	688	0.400520
(836,1885)(477352,489458)(450000,500000)	JASDQU010100574.1	475000	1051	0.208863
(1361,2345)(398515,399562)(350000,400000)	JASDQU010100582.1	375000	986	0.400625
(191,675)(68014,82010)(50000,100000)	JASDQU010100587.1	75000	486	0.556840
(635,1611)(554193,599629)(550000,600000)	JASDQU010100588.1	575000	978	0.266747
(1612,2618)(733014,734020)(700000,750000)	JASDQU010100588.1	725000	1008	0.252310
(2619,5202)(766500,769470)(750000,800000)	JASDQU010100588.1	775000	2585	0.084964
(628,1890)(154116,192631)(150000,200000)	JASDQU010100598.1	175000	1264	0.431054
(76,129)(191552,191618)(150000,200000)	JASDQU010100603.1	175000	55	0.095529
(383,842)(68866,69335)(50000,100000)	JASDQU010100604.1	75000	461	0.559684
(111,636)(200701,232796)(200000,250000)	JASDQU010100605.1	225000	527	0.751848
(68,80)(84408,84437)(50000,100000)	JASDQU010100607.1	75000	14	0.092335
(81,1049)(225055,226030)(200000,250000)	JASDQU010100607.1	225000	970	0.367428
(1050,1566)(304098,304770)(300000,350000)	JASDQU010100607.1	325000	518	0.028051
(584,1567)(299014,299999)(250000,300000)	JASDQU010100609.1	275000	985	0.191358
(1568,5021)(300000,304006)(300000,350000)	JASDQU010100609.1	325000	3455	0.546314
(5022,5177)(777955,778169)(750000,800000)	JASDQU010100609.1	775000	157	0.078976
(45,50)(144578,144583)(100000,150000)	JASDQU010100610.1	125000	7	0.049227
(461,976)(178513,179048)(150000,200000)	JASDQU010100620.1	175000	517	0.013234
(1386,2788)(70616,97067)(50000,100000)	JASDQU010100622.1	75000	1404	0.130840
(160,2328)(425674,428440)(400000,450000)	JASDQU010100627.1	425000	2170	0.699113
(2278,2377)(67616,67736)(50000,100000)	JASDQU010100633.1	75000	101	0.589452
(121,296)(136084,141194)(100000,150000)	JASDQU010100635.1	125000	177	0.035515
(284,445)(220587,220968)(200000,250000)	JASDQU010100636.1	225000	163	0.468191
(171,409)(197419,197661)(150000,200000)	JASDQU010100642.1	175000	240	0.079341
(1762,1990)(130904,131146)(100000,150000)	JASDQU010100643.1	125000	230	0.041116
(17,477)(148999,149492)(100000,150000)	JASDQU010100646.1	125000	462	0.234667
(118,833)(52119,79808)(50000,100000)	JASDQU010100647.1	75000	717	0.124208
(834,893)(139840,139927)(100000,150000)	JASDQU010100647.1	125000	61	0.285222
(894,1402)(198770,199291)(150000,200000)	JASDQU010100647.1	175000	510	0.382320
(67,2792)(361240,388557)(350000,400000)	JASDQU010100648.1	375000	2727	0.606931
(606,1012)(211277,211701)(200000,250000)	JASDQU010100652.1	225000	408	0.101618
(296,1136)(279980,280893)(250000,300000)	JASDQU010100654.1	275000	842	0.219349
(4421,4685)(245277,245545)(200000,250000)	JASDQU010100661.1	225000	266	0.041184
(87,203)(337575,337952)(300000,350000)	JASDQU010100664.1	325000	118	0.053496
(204,1203)(359785,360831)(350000,400000)	JASDQU010100664.1	375000	1001	0.577530
(1379,1506)(156387,156525)(150000,200000)	JASDQU010100671.1	175000	129	0.209890
(799,1165)(107868,124353)(100000,150000)	JASDQU010100673.1	125000	368	0.058360
(208,611)(77772,78338)(50000,100000)	JASDQU010100678.1	75000	405	0.016225
(612,4971)(359306,364662)(350000,400000)	JASDQU010100678.1	375000	4361	0.254827
(2021,2069)(420909,420977)(400000,450000)	JASDQU010100681.1	425000	50	0.060324
(2070,2105)(590398,590447)(550000,600000)	JASDQU010100681.1	575000	37	0.047836
(479,559)(367592,367687)(350000,400000)	JASDQU010100683.1	375000	82	-0.001321
(71,142)(150002,150078)(150000,200000)	JASDQU010100686.1	175000	73	0.049571
(143,4618)(330038,335173)(300000,350000)	JASDQU010100686.1	325000	4477	0.668338
(4619,5198)(352629,363932)(350000,400000)	JASDQU010100686.1	375000	581	0.156941
(5199,6250)(461701,465190)(450000,500000)	JASDQU010100686.1	475000	1053	0.028498
(6251,8210)(533860,548793)(500000,550000)	JASDQU010100686.1	525000	1961	0.250443
(8211,9237)(586219,593022)(550000,600000)	JASDQU010100686.1	575000	1028	0.040058
(9238,10050)(611695,638700)(600000,650000)	JASDQU010100686.1	625000	814	0.035562
(469,1104)(145365,146022)(100000,150000)	JASDQU010100691.1	125000	637	0.575066
(1105,1803)(153415,154181)(150000,200000)	JASDQU010100691.1	175000	700	0.025595
(50,903)(227708,243311)(200000,250000)	JASDQU010100697.1	225000	855	0.033444
(904,2148)(266375,267632)(250000,300000)	JASDQU010100697.1	275000	1246	0.490128
(2149,2748)(324908,325543)(300000,350000)	JASDQU010100697.1	325000	601	0.271038
(387,1109)(131926,132656)(100000,150000)	JASDQU010100709.1	125000	724	0.081174
(1110,1240)(182172,182305)(150000,200000)	JASDQU010100709.1	175000	132	0.440198
(9,198)(191582,191792)(150000,200000)	JASDQU010100711.1	175000	191	0.427732
(199,396)(299790,299999)(250000,300000)	JASDQU010100711.1	275000	199	0.034428
(397,465)(300000,300082)(300000,350000)	JASDQU010100711.1	325000	70	0.046589
(466,1232)(469588,470394)(450000,500000)	JASDQU010100711.1	475000	768	0.787166
(1233,1616)(551973,552486)(550000,600000)	JASDQU010100711.1	575000	385	0.032449
(1617,3470)(719765,724029)(700000,750000)	JASDQU010100711.1	725000	1855	0.005933
(183,220)(744720,744759)(700000,750000)	JASDQU010100714.1	725000	39	0.047620
(221,847)(930084,930755)(900000,950000)	JASDQU010100714.1	925000	628	0.946561
(848,2679)(1022385,1025547)(1000000,1050000)	JASDQU010100714.1	1025000	1833	0.288077
(1353,2699)(76824,98661)(50000,100000)	JASDQU010100715.1	75000	1348	0.406484
(2700,2765)(505106,505171)(500000,550000)	JASDQU010100715.1	525000	67	0.143172
(1258,1478)(189630,189936)(150000,200000)	JASDQU010100717.1	175000	222	0.136486
(18,299)(416218,447436)(400000,450000)	JASDQU010100727.1	425000	283	0.081339
(467,649)(301376,301789)(300000,350000)	JASDQU010100728.1	325000	184	0.002170
(145,359)(115169,115401)(100000,150000)	JASDQU010100733.1	125000	216	0.084558
(360,1133)(440250,444039)(400000,450000)	JASDQU010100733.1	425000	775	0.130481
(439,1898)(439585,441465)(400000,450000)	JASDQU010100744.1	425000	1461	0.379359
(323,875)(291809,292370)(250000,300000)	JASDQU010100746.1	275000	554	0.011624
(876,1787)(443596,444528)(400000,450000)	JASDQU010100746.1	425000	913	0.333972
(72,860)(105915,108147)(100000,150000)	JASDQU010100756.1	125000	790	0.705871
(333,507)(351519,351700)(350000,400000)	JASDQU010100757.1	375000	176	0.045354
(454,765)(249517,249841)(200000,250000)	JASDQU010100758.1	225000	313	0.321292
(766,1079)(469651,469970)(450000,500000)	JASDQU010100758.1	475000	315	0.183400
(1080,1893)(522024,522841)(500000,550000)	JASDQU010100758.1	525000	815	-0.003541
(205,331)(177696,177822)(150000,200000)	JASDQU010100767.1	175000	128	0.030851
(1813,2442)(146586,147216)(100000,150000)	JASDQU010100774.1	125000	631	0.234119
(614,1079)(142447,142951)(100000,150000)	JASDQU010100779.1	125000	467	0.358151
(2029,2727)(163496,164197)(150000,200000)	JASDQU010100785.1	175000	700	0.146485
(2728,2741)(208859,208872)(200000,250000)	JASDQU010100785.1	225000	15	0.061942
(2742,2812)(315420,315500)(300000,350000)	JASDQU010100785.1	325000	72	0.154020
(2813,3066)(412049,412311)(400000,450000)	JASDQU010100785.1	425000	255	0.443613
(3067,3277)(522001,522775)(500000,550000)	JASDQU010100785.1	525000	212	0.106251
(382,448)(379775,379871)(350000,400000)	JASDQU010100788.1	375000	68	0.089751
(449,988)(438724,439270)(400000,450000)	JASDQU010100788.1	425000	541	0.152896
(989,1784)(484187,485019)(450000,500000)	JASDQU010100788.1	475000	797	0.082728
(1785,2085)(509711,510072)(500000,550000)	JASDQU010100788.1	525000	302	0.074774
(2086,2561)(558594,559204)(550000,600000)	JASDQU010100788.1	575000	477	0.019620
(1007,1509)(164104,183975)(150000,200000)	JASDQU010100789.1	175000	504	0.073153
(479,681)(495786,495989)(450000,500000)	JASDQU010100800.1	475000	204	0.049535
(241,395)(206430,206584)(200000,250000)	JASDQU010100801.1	225000	156	0.037942
(448,518)(231382,231467)(200000,250000)	JASDQU010100806.1	225000	72	0.063216
(228,473)(281984,287849)(250000,300000)	JASDQU010100815.1	275000	247	0.405561
(152,235)(205412,219066)(200000,250000)	JASDQU010100819.1	225000	85	0.081241
(236,1953)(256194,283260)(250000,300000)	JASDQU010100819.1	275000	1719	0.274909
(1954,2285)(322726,339137)(300000,350000)	JASDQU010100819.1	325000	333	0.036842
(1330,3213)(261436,264153)(250000,300000)	JASDQU010100822.1	275000	1885	0.383987
(323,425)(887541,887647)(850000,900000)	JASDQU010100823.1	875000	104	0.007006
(426,808)(928328,928724)(900000,950000)	JASDQU010100823.1	925000	384	0.037932
(270,465)(114775,114982)(100000,150000)	JASDQU010100826.1	125000	197	0.197031
(228,1571)(353402,395095)(350000,400000)	JASDQU010100827.1	375000	1345	0.938129
(1572,1608)(468420,468464)(450000,500000)	JASDQU010100827.1	475000	38	0.053672
(537,563)(143838,143884)(100000,150000)	JASDQU010100828.1	125000	28	-0.007165
(564,1191)(275336,275992)(250000,300000)	JASDQU010100828.1	275000	629	0.287204
(78,831)(217269,247190)(200000,250000)	JASDQU010100829.1	225000	755	0.509333
(832,1997)(276469,277902)(250000,300000)	JASDQU010100829.1	275000	1167	0.690069
(2521,5189)(172611,187004)(150000,200000)	JASDQU010100831.1	175000	2670	0.643363
(3547,4307)(136298,137090)(100000,150000)	JASDQU010100833.1	125000	762	0.435651
(4308,4365)(299928,299992)(250000,300000)	JASDQU010100833.1	275000	59	0.045233
(4366,4562)(458437,458772)(450000,500000)	JASDQU010100833.1	475000	198	0.029259
(280,280)(147175,147175)(100000,150000)	JASDQU010100834.1	125000	2	0.047692
(281,1124)(156048,156956)(150000,200000)	JASDQU010100834.1	175000	845	0.671152
(348,365)(159153,159175)(150000,200000)	JASDQU010100842.1	175000	19	0.066606
(366,3944)(295947,299613)(250000,300000)	JASDQU010100842.1	275000	3580	0.480592
(3945,5219)(302134,304475)(300000,350000)	JASDQU010100842.1	325000	1276	0.233481
(5220,5369)(373350,373544)(350000,400000)	JASDQU010100842.1	375000	151	0.025431
(260,1066)(301206,302088)(300000,350000)	JASDQU010100846.1	325000	808	-0.007181
(1067,1166)(464127,464232)(450000,500000)	JASDQU010100846.1	475000	101	0.022537
(222,1656)(108754,137433)(100000,150000)	JASDQU010100857.1	125000	1436	0.461183
(64,202)(253518,253659)(250000,300000)	JASDQU010100858.1	275000	140	0.004793
(82,108)(189219,189290)(150000,200000)	JASDQU010100863.1	175000	28	0.043784
(1390,1581)(200275,200565)(200000,250000)	JASDQU010100864.1	225000	193	0.123818
(147,3402)(206652,210257)(200000,250000)	JASDQU010100870.1	225000	3257	0.568865
(3403,4283)(514478,548001)(500000,550000)	JASDQU010100870.1	525000	882	0.056618
(4284,6053)(662779,689912)(650000,700000)	JASDQU010100870.1	675000	1771	0.099972
(1875,1900)(349974,349999)(300000,350000)	JASDQU010100873.1	325000	27	0.044454
(1901,3785)(350000,363920)(350000,400000)	JASDQU010100873.1	375000	1886	0.451658
(289,2505)(175502,178394)(150000,200000)	JASDQU010100875.1	175000	2218	0.288208
(2816,5069)(265758,268042)(250000,300000)	JASDQU010100877.1	275000	2255	0.301310
(32,91)(50000,50061)(50000,100000)	JASDQU010100888.1	75000	61	0.064059
(92,771)(232683,233384)(200000,250000)	JASDQU010100888.1	225000	681	0.051892
(470,758)(154815,155209)(150000,200000)	JASDQU010100892.1	175000	290	0.010516
(81,3206)(221496,225403)(200000,250000)	JASDQU010100903.1	225000	3127	0.412179
(3207,6329)(381882,399863)(350000,400000)	JASDQU010100903.1	375000	3124	0.276332
(312,414)(121525,121649)(100000,150000)	JASDQU010100907.1	125000	104	0.309980
(1,904)(95397,96325)(50000,100000)	JASDQU010100909.1	75000	905	0.466311
(905,2233)(122765,124165)(100000,150000)	JASDQU010100909.1	125000	1330	0.476275
(832,2073)(109706,131663)(100000,150000)	JASDQU010100916.1	125000	1243	0.016033
(113,341)(91538,91866)(50000,100000)	JASDQU010100917.1	75000	230	0.048207
(342,601)(153554,196695)(150000,200000)	JASDQU010100917.1	175000	261	0.149562
(602,1064)(534054,534518)(500000,550000)	JASDQU010100917.1	525000	464	0.199621
(1065,1432)(647008,647439)(600000,650000)	JASDQU010100917.1	625000	369	0.724037
(1433,3139)(664733,666454)(650000,700000)	JASDQU010100917.1	675000	1708	0.296506
(1197,1501)(59664,59971)(50000,100000)	JASDQU010100919.1	75000	306	0.297511
(187,210)(128819,128850)(100000,150000)	JASDQU010100920.1	125000	25	0.049701
(211,1109)(343091,343994)(300000,350000)	JASDQU010100920.1	325000	900	0.503485
(104,4133)(103981,110396)(100000,150000)	JASDQU010100922.1	125000	4031	0.736128
(4134,4604)(320253,320744)(300000,350000)	JASDQU010100922.1	325000	472	0.476785
(4605,9619)(374197,379360)(350000,400000)	JASDQU010100922.1	375000	5016	0.228620
(9620,12676)(451354,455781)(450000,500000)	JASDQU010100922.1	475000	3058	0.231315
(112,240)(531060,531189)(500000,550000)	JASDQU010100935.1	525000	130	0.106907
(669,5829)(253968,273440)(250000,300000)	JASDQU010100939.1	275000	5162	0.586473
(274,362)(211813,211906)(200000,250000)	JASDQU010100940.1	225000	90	0.045006
(563,1309)(121772,122527)(100000,150000)	JASDQU010100941.1	125000	748	0.664583
(330,341)(496891,496938)(450000,500000)	JASDQU010100944.1	475000	13	0.261054
(342,394)(565634,565704)(550000,600000)	JASDQU010100944.1	575000	54	-0.012119
(395,400)(703960,703975)(700000,750000)	JASDQU010100944.1	725000	7	0.046982
(401,455)(799634,799692)(750000,800000)	JASDQU010100944.1	775000	56	0.087016
(456,771)(843777,844098)(800000,850000)	JASDQU010100944.1	825000	317	0.014113
(772,969)(954637,954838)(950000,1000000)	JASDQU010100944.1	975000	199	0.044668
(970,1152)(1063485,1065177)(1050000,1100000)	JASDQU010100944.1	1075000	184	0.109399
(528,767)(180914,181282)(150000,200000)	JASDQU010100948.1	175000	241	0.049079
(768,1055)(258092,258482)(250000,300000)	JASDQU010100948.1	275000	289	0.041118
(1056,1074)(306118,306141)(300000,350000)	JASDQU010100948.1	325000	20	0.083213
(1075,1112)(688074,688125)(650000,700000)	JASDQU010100948.1	675000	39	0.003905
(1091,3936)(201030,222083)(200000,250000)	JASDQU010100952.1	225000	2847	0.181792
(373,374)(136922,136924)(100000,150000)	JASDQU010100953.1	125000	3	0.058643
(375,501)(188157,188283)(150000,200000)	JASDQU010100953.1	175000	128	0.044039
(502,668)(223261,223460)(200000,250000)	JASDQU010100953.1	225000	168	0.085534
(412,714)(178407,178857)(150000,200000)	JASDQU010100954.1	175000	304	0.031107
(1385,1729)(107333,143534)(100000,150000)	JASDQU010100955.1	125000	346	0.036270
(1730,1886)(159510,159691)(150000,200000)	JASDQU010100955.1	175000	158	0.042237
(1887,2913)(251223,272951)(250000,300000)	JASDQU010100955.1	275000	1028	0.232918
(169,268)(183135,183256)(150000,200000)	JASDQU010100961.1	175000	101	0.385513
(269,689)(215695,216117)(200000,250000)	JASDQU010100961.1	225000	422	0.020925
(690,831)(257210,265012)(250000,300000)	JASDQU010100961.1	275000	143	0.089627
(832,1503)(370061,397230)(350000,400000)	JASDQU010100961.1	375000	673	0.664461
(58,1176)(191523,192713)(150000,200000)	JASDQU010100965.1	175000	1120	0.681324
(1177,1925)(293303,294056)(250000,300000)	JASDQU010100965.1	275000	750	0.371984
(1926,2110)(372727,372915)(350000,400000)	JASDQU010100965.1	375000	186	0.391456
(2111,2883)(443839,444885)(400000,450000)	JASDQU010100965.1	425000	774	0.684280
(772,1300)(292163,297245)(250000,300000)	JASDQU010100968.1	275000	530	0.282583
(594,2027)(263388,264835)(250000,300000)	JASDQU010100972.1	275000	1435	0.389654
(7,699)(75195,75903)(50000,100000)	JASDQU010100975.1	75000	694	0.420391
(16,463)(498875,499630)(450000,500000)	JASDQU010100976.1	475000	449	0.690168
(636,3743)(311334,317403)(300000,350000)	JASDQU010100981.1	325000	3109	0.549480
(606,977)(130853,131299)(100000,150000)	JASDQU010100982.1	125000	373	0.175328
(791,2122)(56425,78927)(50000,100000)	JASDQU010100985.1	75000	1333	0.599861
(2123,3405)(196705,197993)(150000,200000)	JASDQU010100985.1	175000	1284	0.427777
(75,1711)(275719,279386)(250000,300000)	JASDQU010100991.1	275000	1638	0.385496
(173,500)(223289,223629)(200000,250000)	JASDQU010101002.1	225000	329	0.074488
(952,1064)(357302,357440)(350000,400000)	JASDQU010101005.1	375000	114	0.048813
(1065,1667)(469084,469687)(450000,500000)	JASDQU010101005.1	475000	604	0.899542
(1668,2565)(557052,558244)(550000,600000)	JASDQU010101005.1	575000	899	0.894163
(132,854)(407628,408446)(400000,450000)	JASDQU010101016.1	425000	724	0.354971
(855,1984)(473561,484472)(450000,500000)	JASDQU010101016.1	475000	1131	0.091392
(1985,2326)(650438,650785)(650000,700000)	JASDQU010101016.1	675000	343	0.023070
(533,1614)(321720,323762)(300000,350000)	JASDQU010101017.1	325000	1083	0.774348
(1370,1601)(378750,378983)(350000,400000)	JASDQU010101028.1	375000	233	0.012891
(167,233)(218053,218128)(200000,250000)	JASDQU010101029.1	225000	68	0.126417
(234,790)(287313,287903)(250000,300000)	JASDQU010101029.1	275000	558	0.359778
(617,861)(116601,135083)(100000,150000)	JASDQU010101034.1	125000	246	0.410192
(862,1227)(207761,208134)(200000,250000)	JASDQU010101034.1	225000	367	0.030206
(1228,1228)(390175,390175)(350000,400000)	JASDQU010101034.1	375000	2	0.050879
(438,729)(282809,283160)(250000,300000)	JASDQU010101035.1	275000	293	0.051191
(730,1646)(356528,373299)(350000,400000)	JASDQU010101035.1	375000	918	0.139157
(248,429)(122886,123077)(100000,150000)	JASDQU010101037.1	125000	183	0.099792
(132,732)(103889,104497)(100000,150000)	JASDQU010101040.1	125000	602	0.088394
(733,2071)(243881,249999)(200000,250000)	JASDQU010101040.1	225000	1340	0.532131
(2072,2730)(250000,250662)(250000,300000)	JASDQU010101040.1	275000	660	0.491409
(418,508)(189341,189445)(150000,200000)	JASDQU010101042.1	175000	92	0.135415
(2881,3273)(201742,202137)(200000,250000)	JASDQU010101043.1	225000	394	0.258226
(168,962)(622656,624840)(600000,650000)	JASDQU010101053.1	625000	796	0.614192
(54,111)(53168,99862)(50000,100000)	JASDQU010101055.1	75000	59	0.052075
(112,655)(113173,113740)(100000,150000)	JASDQU010101055.1	125000	545	0.772937
(656,700)(578447,578553)(550000,600000)	JASDQU010101055.1	575000	46	0.062711
(2514,2677)(243378,243581)(200000,250000)	JASDQU010101056.1	225000	165	0.049369
(68,4104)(108835,140361)(100000,150000)	JASDQU010101060.1	125000	4038	0.762997
(4105,4371)(201669,201940)(200000,250000)	JASDQU010101060.1	225000	268	0.028528
(1446,2039)(412795,413404)(400000,450000)	JASDQU010101061.1	425000	595	0.325071
(316,335)(103678,103785)(100000,150000)	JASDQU010101063.1	125000	21	0.077712
(185,2338)(50000,85579)(50000,100000)	JASDQU010101066.1	75000	2155	0.917149
(348,502)(187194,187376)(150000,200000)	JASDQU010101070.1	175000	156	0.071507
(1707,1936)(393309,393540)(350000,400000)	JASDQU010101073.1	375000	231	0.060708
(1937,2504)(437246,437814)(400000,450000)	JASDQU010101073.1	425000	569	0.027669
(3914,4099)(217264,217455)(200000,250000)	JASDQU010101076.1	225000	187	0.054610
(396,2265)(384882,387955)(350000,400000)	JASDQU010101080.1	375000	1871	0.492780
(1101,1650)(355246,366583)(350000,400000)	JASDQU010101081.1	375000	551	0.028092
(1651,1970)(418722,428765)(400000,450000)	JASDQU010101081.1	425000	321	0.085522
(1971,2754)(455652,462715)(450000,500000)	JASDQU010101081.1	475000	785	0.026874
(2755,3214)(503147,514157)(500000,550000)	JASDQU010101081.1	525000	461	0.036028
(194,225)(145261,145296)(100000,150000)	JASDQU010101084.1	125000	33	0.058462
(226,973)(155617,181242)(150000,200000)	JASDQU010101084.1	175000	749	0.512373
(974,1452)(287616,288199)(250000,300000)	JASDQU010101084.1	275000	480	0.048148
(1453,3304)(546119,549999)(500000,550000)	JASDQU010101084.1	525000	1853	0.677968
(605,1317)(548096,548894)(500000,550000)	JASDQU010101099.1	525000	714	0.205192
(1035,1205)(515620,516092)(500000,550000)	JASDQU010101103.1	525000	172	0.044933
(1206,1221)(695921,695940)(650000,700000)	JASDQU010101103.1	675000	17	0.079639
(1222,1907)(836595,837724)(800000,850000)	JASDQU010101103.1	825000	687	0.015897
(1908,2309)(1217409,1241549)(1200000,1250000)	JASDQU010101103.1	1225000	403	0.023357
(4193,4821)(405707,445689)(400000,450000)	JASDQU010101105.1	425000	630	0.058729
(95,241)(515112,515260)(500000,550000)	JASDQU010101110.1	525000	148	0.026149
(335,1000)(88426,89215)(50000,100000)	JASDQU010101116.1	75000	667	0.019112
(1001,1598)(118922,119667)(100000,150000)	JASDQU010101116.1	125000	599	0.032497
(30,586)(244657,245235)(200000,250000)	JASDQU010101120.1	225000	558	0.306263
(232,1611)(252286,273762)(250000,300000)	JASDQU010101121.1	275000	1381	0.021140
